New data for core EW9209-2JPC,"C. wuellerstorfi B/Ca and derived CO32-, and Ba/Ca.",,,,,,
cm,cm,cm,ka,umol/mol,umol/mol,umol/kg,"R = ""Cd-cleaning""; O = ""Mg-cleaning"""
top,base,mid,age,B/Ca,Ba/Ca,CO3,Cleaning
2,4,3,0.7,210.6,,111,O
2,4,3,0.7,219.2,1.93,119,R
8,10,9,2.4,215.6,2.26,115,R
14,16,15,4.1,206.4,2.4,107,R
18,20,19,5.3,219.4,,119,O
250,252,251,49.9,216.5,2.07,116,R
260,262,261,51.6,210.2,2.11,111,O
271,273,272,53.5,212.4,,113,R
280,282,281,55,180.2,2.85,84,R
290,292,291,56.7,205.4,2.28,106,R
300,302,301,58.4,184.3,2.85,88,R
306,307,306.5,59.3,164.9,3.26,71,R
310,312,311,60.1,158.2,2.75,65,R
320,322,321,61.8,170.6,2.85,76,R
326,327,326.5,62.7,161.3,2.3,68,R
330,332,331,63.5,155.8,2.39,63,R
336,337,336.5,64.4,169.7,2.57,75,R
341,343,342,65.5,142.8,,52,O
345,346,345.5,66.4,143.9,2.26,52,R
351,353,352,68.1,181.7,2.35,86,R
356,358,357,69.4,173.4,2.31,78,R
360,362,361,70.4,199.6,,101,O
365,367,366,71.7,183.9,,88,O
370,372,371,73,197.4,2.08,99,R
375,377,376,74.3,192.6,1.91,95,R
380,382,381,75.5,187.3,2.27,91,R
385,387,386,76.8,183.5,2.19,87,R
390,392,391,78.1,200.1,2.22,102,R
395,397,396,79.4,203.1,2.2,104,R
400,402,401,80.7,208,1.97,109,R
406,408,407,82.2,202.3,2.57,104,R
410,412,411,83.2,213.9,2.12,114,R
420,422,421,85.5,162.6,2.72,69,R
430,432,431,87.8,189,2.35,92,R
440,442,441,90.1,183.2,,87,O
450,452,451,92.4,219.6,2.13,119,R