New data for core MD95-2039,,,,
Sediment %CaCO3,,,,
Top,Base,Mid,age,%CaCO3
1300,1301,1300.5,52.2,21.0
1302,1303,1302.5,52.3,23.2
1304,1305,1304.5,52.3,25.8
1306,1307,1306.5,52.4,23.8
1308,1309,1308.5,52.5,27.0
1310,1311,1310.5,52.6,23.8
1312,1313,1312.5,52.6,25.2
1314,1315,1314.5,52.7,23.8
1316,1317,1316.5,52.8,24.4
1318,1320,1319,52.9,23.9
1320,1322,1321,52.9,21.3
1323,1324,1323.5,53.0,25.4
1324,1325,1324.5,53.1,21.0
1326,1327,1326.5,53.1,23.2
1328,1329,1328.5,53.2,28.1
1330,1331,1330.5,53.3,33.0
1332,1333,1332.5,53.4,39.1
1334,1335,1334.5,53.4,40.2
1336,1337,1336.5,53.5,38.8
1338,1339,1338.5,53.6,39.2
1340,1341,1340.5,53.6,41.1
1342,1343,1342.5,53.7,35.7
1344,1345,1344.5,53.8,30.4
1346,1347,1346.5,53.9,31.7
1348,1349,1348.5,53.9,35.2
1350,1352,1351,54.0,28.8
1353,1354,1353.5,54.1,26.6
1355,1356,1355.5,54.2,23.8
1357,1358,1357.5,54.3,28.5
1359,1360,1359.5,54.3,24.6
1361,1362,1361.5,54.4,28.5
1363,1364,1363.5,54.5,18.8
1365,1366,1365.5,54.5,20.7
1367,1368,1367.5,54.6,24.9
1368,1370,1369,54.7,16.8
1370,1372,1371,54.7,17.3
1372,1373,1372.5,54.8,17.1
1374,1375,1374.5,54.9,18.5
1376,1377,1376.5,54.9,10.9
1378,1379,1378.5,55.0,16.9
1380,1381,1380.5,55.1,13.8
1382,1383,1382.5,55.2,13.1
1384,1385,1384.5,55.2,18.0
1386,1387,1386.5,55.3,17.6
1388,1389,1388.5,55.4,14.1
1390,1391,1390.5,55.4,15.0
1392,1393,1392.5,55.5,19.1
1394,1395,1394.5,55.6,18.0
1396,1397,1396.5,55.7,13.9
1398,1399,1398.5,55.7,12.4
1400,1402,1401,55.8,14.1
1402,1403,1402.5,55.9,13.6
1404,1405,1404.5,55.9,12.9
1406,1407,1406.5,56.0,26.0
1408,1409,1408.5,56.2,13.4
1410,1411,1410.5,56.3,12.4
1412,1413,1412.5,56.5,16.9
1414,1415,1414.5,56.7,11.9
1416,1417,1416.5,56.8,14.0
1418,1419,1418.5,57.0,18.6
1420,1421,1420.5,57.1,14.0
1422,1423,1422.5,57.3,15.3
1424,1425,1424.5,57.4,16.4
1426,1428,1427,57.6,13.0
1428,1429,1428.5,57.7,13.5
1430,1432,1431,57.9,10.4
1432,1433,1432.5,58.1,10.8
1434,1435,1434.5,58.2,14.4
1436,1437,1436.5,58.4,11.8
1438,1439,1438.5,58.5,15.7
1440,1441,1440.5,58.7,17.1
1442,1443,1442.5,58.8,15.7
1444,1445,1444.5,59.0,14.8
1446,1447,1446.5,59.1,16.8
1448,1449,1448.5,59.3,17.3
1450,1451,1450.5,59.5,17.7
1452,1453,1452.5,59.6,19.1
1454,1455,1454.5,59.8,21.6
1456,1457,1456.5,59.9,24.7
1458,1460,1459,60.1,27.4
1460,1461,1460.5,60.2,25.3
1462,1463,1462.5,60.4,26.4
1464,1465,1464.5,60.5,25.0
1466,1467,1466.5,60.7,
1468,1469,1468.5,60.8,22.8
1470,1471,1470.5,61.0,22.7
1472,1473,1472.5,61.2,20.9
1474,1475,1474.5,61.3,20.9
1476,1477,1476.5,61.5,22.9
1478,1479,1478.5,61.6,19.4
1480,1481,1480.5,61.8,17.4
1482,1483,1482.5,61.9,20.0
1484,1486,1485,62.1,17.8
1486,1488,1487,62.3,16.3
1488,1489,1488.5,62.4,16.1
1490,1491,1490.5,62.6,16.3
1492,1494,1493,62.8,16.4
1494,1495,1494.5,62.9,17.4
1496,1497,1496.5,63.0,19.5
1498,1499,1498.5,63.2,21.3
1500,1501,1500.5,63.3,22.2
1502,1503,1502.5,63.5,23.2
1504,1505,1504.5,63.6,25.5
1506,1507,1506.5,63.8,28.7
1508,1509,1508.5,64.0,26.3
1510,1511,1510.5,64.1,26.0
1512,1513,1512.5,64.3,25.7
1514,1515,1514.5,64.4,26.7
1516,1517,1516.5,64.6,25.1
1518,1519,1518.5,64.7,22.8
1520,1521,1520.5,64.9,24.3
1522,1523,1522.5,65.1,26.3
1524,1525,1524.5,65.3,28.8
1526,1527,1526.5,65.6,31.9
1528,1529,1528.5,65.8,31.9
1530,1531,1530.5,66.1,31.7
1532,1533,1532.5,66.4,32.0
1534,1535,1534.5,66.6,29.3
1536,1537,1536.5,66.9,36.9
1538,1539,1538.5,67.1,28.2
1540,1541,1540.5,67.4,25.6
1542,1543,1542.5,67.6,28.5
1544,1545,1544.5,67.9,32.1
1546,1547,1546.5,68.2,34.7
1548,1549,1548.5,68.4,40.0
1550,1551,1550.5,68.7,41.5
1552,1553,1552.5,68.9,42.0
1554,1555,1554.5,69.2,41.6
1556,1557,1556.5,69.4,39.0
1558,1559,1558.5,69.7,28.0
1560,1561,1560.5,70.0,34.7
1562,1563,1562.5,70.2,
1564,1565,1564.5,70.5,27.5
1566,1567,1566.5,70.7,24.2
1568,1569,1568.5,71.0,24.5
1570,1571,1570.5,71.2,24.1
1572,1573,1572.5,71.5,24.3
1574,1575,1574.5,71.8,27.0
1576,1577,1576.5,72.0,34.1
1578,1579,1578.5,72.3,39.8
1580,1581,1580.5,72.5,36.9
1582,1583,1582.5,72.8,37.9
1584,1585,1584.5,73.0,38.8
1586,1587,1586.5,73.3,43.1
1588,1589,1588.5,73.6,36.0
1590,1591,1590.5,73.8,38.3
1592,1593,1592.5,74.1,31.0
1594,1595,1594.5,74.3,44.3
1596,1597,1596.5,74.6,31.6
1598,1599,1598.5,74.8,33.4
1600,1601,1600.5,75.1,32.5
1602,1603,1602.5,75.4,29.9
1604,1605,1604.5,75.6,35.4
1606,1607,1606.5,75.9,31.1
1608,1609,1608.5,76.1,32.1
1610,1611,1610.5,76.4,35.7
1612,1613,1612.5,76.6,41.0
1614,1615,1614.5,76.9,50.4
1616,1617,1616.5,77.2,49.2
1618,1619,1618.5,77.4,53.0
1620,1621,1620.5,77.7,52.9
1622,1623,1622.5,77.9,57.5
1624,1625,1624.5,78.2,55.4
1626,1627,1626.5,78.4,57.7
1628,1629,1628.5,78.7,21.5
1630,1631,1630.5,79.0,58.9
1632,1633,1632.5,79.2,59.0
1634,1636,1635,79.5,57.1
1636,1637,1636.5,79.7,55.3
1638,1639,1638.5,80.0,55.7
1640,1641,1640.5,80.2,59.8
1642,1643,1642.5,80.5,57.7
1644,1645,1644.5,80.8,57.5
1646,1647,1646.5,81.0,57.2
1648,1649,1648.5,81.3,57.4
1650,1651,1650.5,81.5,55.8
1652,1653,1652.5,81.8,55.0
1654,1655,1654.5,82.0,55.5
1656,1657,1656.5,82.3,52.1
1658,1659,1658.5,82.6,49.6
1660,1661,1660.5,82.8,43.6
1662,1663,1662.5,83.1,41.1
1664,1665,1664.5,83.4,40.9
1666,1667,1666.5,83.7,30.1
1668,1669,1668.5,84.0,30.4
1670,1671,1670.5,84.3,31.6
1672,1673,1672.5,84.6,23.6
1674,1675,1674.5,84.9,24.6
1676,1677,1676.5,85.3,19.6
1678,1679,1678.5,85.6,18.5
1680,1681,1680.5,85.9,17.4
1682,1683,1682.5,86.2,17.5
1684,1685,1684.5,86.5,18.4
1686,1687,1686.5,86.8,19.0
1688,1689,1688.5,87.1,20.8
1690,1691,1690.5,87.4,19.7
1692,1693,1692.5,87.7,19.2
1694,1695,1694.5,88.0,19.6
1696,1697,1696.5,88.4,21.2
1698,1699,1698.5,88.7,22.8
1700,1701,1700.5,89.0,30.6
1702,1703,1702.5,89.3,34.2
1704,1705,1704.5,89.6,37.4
1706,1707,1706.5,89.9,47.6
1708,1709,1708.5,90.2,48.2
1710,1711,1710.5,90.5,51.8