Data for RC13-228,,,,,,,
cm,cm,cm,kyr,umol/mol,umol/kg,umol/mol,"C. wuellerstorfi B/Ca and derived CO32-, and Ba/Ca."
depth-top,depth-btm,mid depth,age,Cw B/Ca,CO3,Ba/Ca,cleaning
0,2,1,0.3,189,95,3.55,R
3,4,3.5,0.7,195,101,4.37,R
6,7,6.5,1.2,190,96,3.43,R
9,10,9.5,1.7,188,94,3.75,R
248,249,248.5,46.8,179,86,3.61,R
260,261,260.5,49.2,182,89,3.5,R
298,299,298.5,57,171,79,3.48,R
308,309,308.5,59,178,85,3.51,R
315,316,315.5,60.4,180,87,3.14,R
325,326,325.5,62.5,173,81,3.16,R
330,331,330.5,63.5,178,86,3.31,R
335,336,335.5,64.5,169,78,3.44,R
344,345,344.5,66.5,176,84,4.14,R
353,355,354,68.6,177,85,3.14,R
360,361,360.5,70.1,176,84,3.46,R
360,361,360.5,70.1,174,82,3.35,R
365,366,365.5,71.3,188,94,3.54,R
374,376,375,73.4,189,95,3.32,R
395,396,395.5,78.1,188,95,3.75,R
395,396,395.5,78.1,197,102,3.57,R
400,401,400.5,79.2,192,98,3.36,R
404,406,405,80.3,199,104,3.38,R
428,429,428.5,84.8,191,97,3.34,R
445,446,445.5,87.4,184,90,3.16,R
450,451,450.5,88.2,179,87,2.71,R